"","Hotel_City","Review_Date2"
"1992","London",2015-08-23
"1994","London",2015-08-17
"2007","London",2015-08-06
"2017","London",2017-07-14
"2018","London",2017-07-12
"2022","London",2017-07-08
"2029","London",2017-07-04
"2032","London",2017-07-02
"2037","London",2017-06-28
"2042","London",2017-06-22
"2043","London",2017-06-21
"2048","London",2017-06-16
"2049","London",2017-06-15
"2053","London",2017-06-09
"2055","London",2017-06-08
"2060","London",2017-06-06
"2066","London",2017-05-29
"2067","London",2017-05-28
"2074","London",2017-05-19
"2085","London",2017-05-03
"2101","London",2017-04-17
"2102","London",2017-04-15
"2103","London",2017-04-13
"2105","London",2017-04-12
"2111","London",2017-04-08
"2112","London",2017-04-06
"2116","London",2017-04-02
"2117","London",2017-03-30
"2121","London",2017-03-25
"2123","London",2017-03-24
"2130","London",2017-03-15
"2152","London",2017-02-22
"2159","London",2017-02-08
"2165","London",2017-02-02
"2168","London",2017-02-01
"2176","London",2017-01-28
"2198","London",2017-01-14
"2223","London",2016-12-27
"2239","London",2016-12-17
"2263","London",2016-11-26
"2265","London",2016-11-25
"2272","London",2016-11-19
"2296","London",2016-10-27
"2310","London",2016-10-12
"2330","London",2016-09-22
"2340","London",2016-09-11
"2342","London",2016-09-09
"2344","London",2016-09-08
"2348","London",2016-09-05
"2355","London",2016-08-29
"2359","London",2016-08-26
"2379","London",2016-08-15
"2387","London",2016-08-10
"2415","London",2016-07-24
"2418","London",2016-07-21
"2448","London",2016-06-30
"2457","London",2016-06-25
"2458","London",2016-06-24
"2478","London",2016-06-05
"2479","London",2016-06-03
"2485","London",2016-05-28
"2492","London",2016-05-23
"2518","London",2016-05-07
"2521","London",2016-04-28
"2635","London",2016-01-25
"2638","London",2016-01-22
"2652","London",2016-01-08
"2672","London",2015-12-11
"2682","London",2015-12-03
"2694","London",2015-11-19
"2700","London",2015-11-16
"2703","London",2015-11-14
"2706","London",2015-11-12
"2707","London",2015-11-11
"2713","London",2015-11-04
"2728","London",2015-10-16
"2739","London",2015-09-24
"2742","London",2015-09-19
"2749","London",2015-09-13
"2761","London",2015-08-28
"2766","London",2015-08-24
"2770","London",2015-08-20
"2777","London",2015-08-12
"2781","London",2015-08-10
"2782","London",2015-08-08
"2800","London",2017-07-31
"2801","London",2017-07-30
"2803","London",2017-07-24
"2808","London",2017-07-17
"2812","London",2017-07-13
"2821","London",2017-07-09
"2830","London",2017-06-29
"2832","London",2017-06-26
"2843","London",2017-06-17
"2850","London",2017-06-02
"2860","London",2017-05-27
"2889","London",2017-04-22
"2895","London",2017-04-14
"2946","London",2017-03-03
"2956","London",2017-02-25
"2963","London",2017-02-17
"2995","London",2017-01-20
"3021","London",2016-12-29
"3059","London",2016-12-11
"3088","London",2016-11-17
"3092","London",2016-11-15
"3129","London",2016-10-20
"3159","London",2016-09-17
"3172","London",2016-09-12
"3177","London",2016-09-07
"3262","London",2016-07-31
"3284","London",2016-07-15
"3333","London",2016-06-17
"3396","London",2016-05-05
"3415","London",2016-04-23
"3426","London",2016-04-15
"3467","London",2016-03-26
"3607","London",2016-01-06
"3651","London",2015-12-05
"3689","London",2015-10-23
"3707","London",2015-10-07
"3726","London",2015-09-18
"3733","London",2015-09-12
"3734","London",2015-09-11
"3750","London",2015-08-22
"3757","London",2015-08-19
"3764","London",2015-08-14
"3777","London",2015-08-05
"3779","Paris",2017-06-29
"3780","Paris",2017-04-25
"3781","Paris",2017-04-18
"3782","Paris",2016-11-11
"3783","Paris",2016-08-28
"3785","Paris",2016-07-29
"3786","Paris",2016-07-27
"3787","Paris",2016-04-22
"3788","Paris",2016-02-22
"3789","Paris",2016-01-14
"3790","Paris",2016-01-07
"3791","Paris",2015-10-27
"3792","Paris",2015-10-26
"3793","Paris",2015-10-04
"3794","Paris",2015-10-03
"3795","Paris",2017-07-09
